Epoch	Train_Total_Loss	Train_Topo_Loss	Train_Coord_Loss	Train_Topo_Acc	Val_Total_Loss	Val_Topo_Loss	Val_Coord_Loss	Val_Topo_Acc
1	0.147959	0.134280	0.027358	0.954911	5.463990	5.440613	0.046754	0.555692
2	0.042931	0.037610	0.010641	0.988116	1.378411	1.344164	0.068494	0.811506
3	0.097921	0.093982	0.007878	0.977980	0.124472	0.118631	0.011681	0.974296
4	0.010696	0.008605	0.004181	0.997903	0.246695	0.242213	0.008964	0.930233
5	0.049215	0.046094	0.006242	0.986718	0.166664	0.163043	0.007241	0.937576
6	0.007791	0.005406	0.004769	0.998252	0.017308	0.009419	0.015777	0.996328
7	0.006563	0.004647	0.003831	0.998951	0.080387	0.078397	0.003979	0.979192
8	0.018095	0.016278	0.003634	0.994058	1.847840	1.833460	0.028761	0.778458
9	0.026055	0.023812	0.004487	0.993359	1.452394	1.448011	0.008767	0.887393
10	0.013460	0.011459	0.004003	0.996155	0.001751	0.000596	0.002310	1.000000
11	0.002660	0.001320	0.002679	1.000000	0.000820	0.000089	0.001462	1.000000
12	0.001422	0.000189	0.002466	1.000000	0.000847	0.000020	0.001654	1.000000
13	0.001141	0.000115	0.002052	1.000000	0.000527	0.000014	0.001027	1.000000
14	0.000843	0.000077	0.001531	1.000000	0.000473	0.000012	0.000921	1.000000
15	0.001054	0.000061	0.001987	1.000000	0.000903	0.000009	0.001788	1.000000
16	0.000984	0.000200	0.001568	1.000000	0.000615	0.000012	0.001207	1.000000
17	0.001020	0.000254	0.001531	1.000000	0.000401	0.000017	0.000767	1.000000
18	0.001001	0.000159	0.001684	1.000000	0.000329	0.000010	0.000638	1.000000
19	0.001235	0.000046	0.002378	1.000000	0.000449	0.000004	0.000890	1.000000
20	0.000800	0.000016	0.001567	1.000000	0.000542	0.000004	0.001076	1.000000
21	0.000731	0.000020	0.001421	1.000000	0.000429	0.000003	0.000852	1.000000
22	0.000761	0.000020	0.001482	1.000000	0.000398	0.000003	0.000790	1.000000
23	0.000588	0.000012	0.001152	1.000000	0.000343	0.000002	0.000682	1.000000
24	0.000582	0.000011	0.001142	1.000000	0.000240	0.000002	0.000475	1.000000
25	0.000720	0.000078	0.001283	1.000000	0.000638	0.000002	0.001272	1.000000
26	0.000785	0.000087	0.001397	1.000000	0.000402	0.000001	0.000802	1.000000
27	0.000670	0.000042	0.001258	1.000000	0.000952	0.000001	0.001903	1.000000
28	0.000576	0.000004	0.001144	1.000000	0.000237	0.000001	0.000473	1.000000
29	0.000530	0.000034	0.000993	1.000000	0.000282	0.000000	0.000563	1.000000
30	0.000440	0.000005	0.000871	1.000000	0.000153	0.000001	0.000305	1.000000
31	0.000454	0.000004	0.000900	1.000000	0.000168	0.000001	0.000335	1.000000
32	0.000461	0.000008	0.000904	1.000000	0.000416	0.000001	0.000831	1.000000
33	0.000478	0.000003	0.000949	1.000000	0.000203	0.000000	0.000404	1.000000
34	0.000360	0.000003	0.000714	1.000000	0.000178	0.000000	0.000355	1.000000
35	0.000386	0.000004	0.000764	1.000000	0.000192	0.000001	0.000384	1.000000
36	0.000337	0.000003	0.000668	1.000000	0.000137	0.000000	0.000272	1.000000
37	0.000371	0.000003	0.000737	1.000000	0.000119	0.000000	0.000236	1.000000
38	0.000337	0.000006	0.000662	1.000000	0.000107	0.000000	0.000213	1.000000
39	0.000359	0.000003	0.000712	1.000000	0.000169	0.000000	0.000338	1.000000
40	0.000450	0.000002	0.000897	1.000000	0.000182	0.000000	0.000363	1.000000
41	0.000355	0.000002	0.000706	1.000000	0.000106	0.000000	0.000210	1.000000
42	0.000280	0.000001	0.000557	1.000000	0.000106	0.000000	0.000212	1.000000
43	0.000305	0.000003	0.000603	1.000000	0.000125	0.000000	0.000250	1.000000
44	0.000292	0.000004	0.000576	1.000000	0.000165	0.000000	0.000330	1.000000
45	0.000299	0.000005	0.000587	1.000000	0.000210	0.000000	0.000419	1.000000
46	0.000329	0.000002	0.000655	1.000000	0.000334	0.000000	0.000668	1.000000
47	0.000355	0.000003	0.000703	1.000000	0.000183	0.000000	0.000366	1.000000
48	0.000273	0.000003	0.000541	1.000000	0.000125	0.000000	0.000250	1.000000
49	0.000286	0.000002	0.000568	1.000000	0.000150	0.000000	0.000300	1.000000
50	0.000377	0.000061	0.000630	1.000000	0.000126	0.000005	0.000242	1.000000
51	0.000297	0.000013	0.000569	1.000000	0.000120	0.000000	0.000239	1.000000
52	0.000273	0.000014	0.000517	1.000000	0.000194	0.000000	0.000387	1.000000
53	0.000258	0.000001	0.000514	1.000000	0.000165	0.000000	0.000329	1.000000
54	0.000301	0.000001	0.000600	1.000000	0.000085	0.000000	0.000170	1.000000
55	0.000255	0.000003	0.000505	1.000000	0.000073	0.000000	0.000146	1.000000
56	0.000229	0.000001	0.000456	1.000000	0.000068	0.000000	0.000136	1.000000
57	0.000251	0.000002	0.000499	1.000000	0.000297	0.000000	0.000593	1.000000
58	0.000270	0.000001	0.000538	1.000000	0.000108	0.000000	0.000215	1.000000
59	0.000287	0.000002	0.000570	1.000000	0.000109	0.000000	0.000217	1.000000
60	0.000195	0.000001	0.000388	1.000000	0.000068	0.000000	0.000137	1.000000
61	0.000188	0.000003	0.000369	1.000000	0.000053	0.000000	0.000107	1.000000
62	0.000225	0.000001	0.000448	1.000000	0.000085	0.000000	0.000170	1.000000
63	0.000226	0.000001	0.000452	1.000000	0.000052	0.000000	0.000103	1.000000
64	0.000217	0.000001	0.000433	1.000000	0.000050	0.000000	0.000099	1.000000
65	0.000205	0.000003	0.000405	1.000000	0.000160	0.000000	0.000319	1.000000
66	0.000209	0.000001	0.000418	1.000000	0.000098	0.000000	0.000196	1.000000
67	0.000195	0.000001	0.000387	1.000000	0.000050	0.000000	0.000100	1.000000
68	0.000199	0.000001	0.000396	1.000000	0.000060	0.000000	0.000119	1.000000
69	0.000191	0.000001	0.000381	1.000000	0.000077	0.000000	0.000154	1.000000
70	0.000209	0.000001	0.000417	1.000000	0.000100	0.000000	0.000199	1.000000
71	0.000190	0.000001	0.000378	1.000000	0.000088	0.000000	0.000176	1.000000
72	0.000209	0.000001	0.000417	1.000000	0.000127	0.000000	0.000254	1.000000
73	0.000209	0.000001	0.000416	1.000000	0.000079	0.000000	0.000157	1.000000
74	0.000185	0.000001	0.000369	1.000000	0.000052	0.000000	0.000104	1.000000
75	0.000157	0.000001	0.000312	1.000000	0.000144	0.000000	0.000289	1.000000
76	0.000166	0.000000	0.000331	1.000000	0.000086	0.000000	0.000171	1.000000
77	0.000168	0.000001	0.000335	1.000000	0.000056	0.000000	0.000111	1.000000
78	0.312827	0.309572	0.006511	0.934638	167372.365385	166098.557692	2547.619178	0.127295
79	0.201312	0.195901	0.010822	0.934638	0.935367	0.929955	0.010824	0.880049
