pred_x_m	pred_y_m	predicted_area	true_area
3.8128045	-0.48098576	A	A
1.5442294	0.027143955	A	A
-0.6123735	-0.7572448	A	A
4.269379	-1.603606	A	A
1.401861	-0.33179677	A	A
0.6387096	-0.64803267	A	A
3.552958	-0.89391494	A	A
0.32053375	0.05017805	A	A
1.9535981	-0.5334306	A	A
0.53816503	-0.52292466	A	A
0.05571404	-0.078107595	A	A
2.9683204	-0.5253587	A	A
0.77658105	0.06452322	A	A
-0.3458495	-0.46395874	A	A
3.7650313	-1.1080657	A	A
3.727517	-0.7798871	A	A
-0.3681028	-0.80970097	A	A
1.1675345	-0.079821825	A	A
3.900916	-0.7078203	A	A
1.4720254	-0.17301035	A	A
2.4187384	-1.3595701	A	A
0.16275482	-0.16946161	A	A
4.4537807	-0.37883258	A	A
3.892191	-1.0888929	A	A
0.3300627	-0.25504255	A	A
3.084459	-1.0635053	A	A
0.96321076	-0.3361349	A	A
3.5710788	-1.0216135	A	A
1.0680182	-0.0035369396	A	A
2.6941278	-1.0122753	A	A
2.5377781	-0.6211605	A	A
3.6237504	-0.85259867	A	A
1.9427787	-0.53397536	A	A
3.124396	-0.8887174	A	A
3.7294936	-1.1520883	A	A
3.9894772	-0.45872283	A	A
0.9164782	-0.44860327	A	A
1.3516608	-0.62287223	A	A
2.4300237	-0.61026835	A	A
3.0482593	-1.0293978	A	A
-0.34847176	-0.49544477	A	A
-0.4385441	-0.7585056	A	A
1.3332977	-0.06502867	A	A
-0.48683178	-0.33000314	A	A
3.2575173	-1.1647311	A	A
1.2237555	-0.79215693	A	A
0.44870454	0.7595389	A	A
3.6787899	-0.72468495	A	A
2.2219455	-0.7544466	A	A
1.5445806	-0.4868822	A	A
0.14461546	-0.46824598	A	A
4.0252147	0.12844586	A	A
3.5425882	-0.8091656	A	A
3.6163685	-0.5446768	A	A
2.9174278	-0.54043174	A	A
1.2400626	-0.80006075	A	A
0.15434574	-0.12508178	A	A
1.925641	-0.5088041	A	A
3.1295848	-1.2488797	A	A
3.3492591	-0.58856976	A	A
3.9990506	-0.6756655	A	A
0.28344828	0.1591196	A	A
0.56931984	0.12880802	A	A
3.5261056	-0.9644643	A	A
2.0801692	-1.1463435	A	A
-0.25867677	0.050025225	A	A
2.5083387	-0.7086066	A	A
1.2627023	-0.7906666	A	A
3.7884576	-1.4040154	A	A
-0.8047659	-0.85975397	A	A
2.0873456	-1.0029314	A	A
-0.14905672	-0.05803895	A	A
-0.38622323	-0.12106693	A	A
3.7412293	-1.105065	A	A
1.3608853	-0.10345864	A	A
4.262096	-1.1785624	A	A
4.207382	-1.624471	A	A
0.4566434	-0.23643911	A	A
-0.2986207	-0.44135427	A	A
1.1632183	1.1912911	A	A
3.6847656	-0.8295016	A	A
1.7582959	-0.404855	A	A
3.8156686	-0.14623117	A	A
3.494002	-0.06673741	A	A
-0.28574517	-0.0678463	A	A
1.4735918	-0.37559092	A	A
3.8106027	-0.9321096	A	A
0.8014969	-0.6154188	A	A
8.1549425	0.89110565	B	B
3.629214	17.445198	B	B
7.0424547	9.51514	B	B
7.311904	5.2387757	B	B
7.6264896	-0.32132924	B	B
7.153118	6.5396013	B	B
6.8616486	8.294005	B	B
7.7410817	2.1237063	B	B
4.294294	15.874946	B	B
7.725915	-0.45305276	B	B
7.112825	6.500346	B	B
6.901607	10.1939335	B	B
6.6405025	10.793876	B	B
6.724921	10.683044	B	B
3.683982	17.162067	B	B
6.113422	12.035781	B	B
7.593452	-1.0991296	B	B
5.3280697	13.978007	B	B
6.395377	11.56236	B	B
5.9153905	12.751673	B	B
4.4021792	15.575259	B	B
4.0219607	16.480358	B	B
7.285114	5.3497972	B	B
7.7171583	3.8596282	B	B
6.360345	11.549399	B	B
7.576547	-0.742056	B	B
7.68864	-0.8654649	B	B
7.628768	8.069997	B	B
8.52009	1.7435966	B	B
4.287485	16.316772	B	B
7.5959654	-0.98750734	B	B
