gt_x_m	gt_y_m	pred_x_m	pred_y_m	true_area
4.1847157	-0.6873778	3.8128045	-0.48098576	A
1.9307448	-0.43729675	1.5442294	0.027143955	A
-0.02241072	-0.24472797	-0.6123735	-0.7572448	A
4.242417	-0.59969234	4.269379	-1.603606	A
1.7574484	-0.4618894	1.401861	-0.33179677	A
1.210027	-0.29757273	0.6387096	-0.64803267	A
4.3504033	-0.5816721	3.552958	-0.89391494	A
0.07718532	-0.0029568672	0.32053375	0.05017805	A
2.6310983	-0.42209613	1.9535981	-0.5334306	A
1.7207485	-0.47681332	0.53816503	-0.52292466	A
0.19883133	-0.019297838	0.05571404	-0.078107595	A
2.937295	-0.6315862	2.9683204	-0.5253587	A
0.69077206	-0.21370792	0.77658105	0.06452322	A
-0.17149381	-0.1946317	-0.3458495	-0.46395874	A
4.228621	-0.5529009	3.7650313	-1.1080657	A
4.2039313	-0.65901697	3.727517	-0.7798871	A
0.86495394	-0.21016347	-0.3681028	-0.80970097	A
0.95444363	-0.32556403	1.1675345	-0.079821825	A
4.184459	-0.6875433	3.900916	-0.7078203	A
2.1815016	-0.46905434	1.4720254	-0.17301035	A
3.2036853	-0.4420153	2.4187384	-1.3595701	A
0.32428724	-0.05205798	0.16275482	-0.16946161	A
4.349772	-0.58204293	4.4537807	-0.37883258	A
4.3501387	-0.5810671	3.892191	-1.0888929	A
0.8272806	-0.13587093	0.3300627	-0.25504255	A
4.3500047	-0.5810064	3.084459	-1.0635053	A
0.74032974	-0.4055978	0.96321076	-0.3361349	A
3.7799687	-0.48689866	3.5710788	-1.0216135	A
0.91676635	-0.30950522	1.0680182	-0.0035369396	A
2.8352334	-0.4388852	2.6941278	-1.0122753	A
2.4540687	-0.5263715	2.5377781	-0.6211605	A
4.35003	-0.58102536	3.6237504	-0.85259867	A
2.5486994	-0.41988444	1.9427787	-0.53397536	A
2.9082243	-0.53485775	3.124396	-0.8887174	A
3.6566412	-0.47532976	3.7294936	-1.1520883	A
4.349732	-0.58204865	3.9894772	-0.45872283	A
1.1086103	-0.4535215	0.9164782	-0.44860327	A
1.6748793	-0.3100251	1.3516608	-0.62287223	A
2.6305733	-0.44787288	2.4300237	-0.61026835	A
4.2423353	-0.5996698	3.0482593	-1.0293978	A
-0.17156847	-0.19466507	-0.34847176	-0.49544477	A
-0.022402063	-0.24472773	-0.4385441	-0.7585056	A
2.262962	-0.46506226	1.3332977	-0.06502867	A
-1.4901161e-08	0.0	-0.48683178	-0.33000314	A
4.242429	-0.60010254	3.2575173	-1.1647311	A
1.2471788	-0.44683456	1.2237555	-0.79215693	A
-1.4901161e-08	0.0	0.44870454	0.7595389	A
