Metrics,A,B,C,D,E,Average
1. Average error X (m),0.39536485,0.23129925,0.24267222,0.33078128,0.28870398,0.29537264
2. Maximum error X (m),1.2655456,0.8979902,0.6314783,1.0144806,1.353651,1.353651
3. Minimum error X (m),0.0006299019,4.2438507e-05,0.027274132,0.00038337708,0.0028305054,4.2438507e-05
4. Error deviation in X (m),0.31478468,0.17507859,0.1565162,0.23814504,0.2773423,0.2444423
5. Average error Y (m),0.33523816,0.5338359,0.43710345,0.49907118,0.66717017,0.48744923
6. Maximum error Y (m),1.1912911,1.6751274,1.4002304,1.7055702,2.3715744,2.3715744
7. Minimum error Y (m),0.002840519,0.009935379,0.013774872,0.008956909,0.030471802,0.002840519
8. Error deviation in Y (m),0.26693568,0.3787866,0.32897902,0.3408899,0.55713844,0.38730273
9. Average error Euclidean (m),0.57257897,0.60623044,0.52707773,0.64770335,0.78368616,0.6187425
10. Maximum error Euclidean (m),1.6650078,1.7130481,1.4385856,1.9509686,2.3749325,2.3749325
11. Minimum error Euclidean (m),0.020985765,0.036131397,0.07864143,0.095211804,0.04308824,0.020985765
12. Error deviation Euclidean (m),0.3334596,0.38091537,0.32382518,0.3344961,0.54920316,0.3895701
