| Metrics | A | B | C | D | E | Average |
| :--- | :---: | :---: | :---: | :---: | :---: | :---: |
| 1. Average error X (m) | 0.395365 | 0.231299 | 0.242672 | 0.330781 | 0.288704 | 0.295373 |
| 2. Maximum error X (m) | 1.265546 | 0.897990 | 0.631478 | 1.014481 | 1.353651 | 1.353651 |
| 3. Minimum error X (m) | 0.000630 | 0.000042 | 0.027274 | 0.000383 | 0.002831 | 0.000042 |
| 4. Error deviation in X (m) | 0.314785 | 0.175079 | 0.156516 | 0.238145 | 0.277342 | 0.244442 |
| 5. Average error Y (m) | 0.335238 | 0.533836 | 0.437103 | 0.499071 | 0.667170 | 0.487449 |
| 6. Maximum error Y (m) | 1.191291 | 1.675127 | 1.400230 | 1.705570 | 2.371574 | 2.371574 |
| 7. Minimum error Y (m) | 0.002841 | 0.009935 | 0.013775 | 0.008957 | 0.030472 | 0.002841 |
| 8. Error deviation in Y (m) | 0.266936 | 0.378787 | 0.328979 | 0.340890 | 0.557138 | 0.387303 |
| 9. Average error Euclidean (m) | 0.572579 | 0.606230 | 0.527078 | 0.647703 | 0.783686 | 0.618743 |
| 10. Maximum error Euclidean (m) | 1.665008 | 1.713048 | 1.438586 | 1.950969 | 2.374933 | 2.374933 |
| 11. Minimum error Euclidean (m) | 0.020986 | 0.036131 | 0.078641 | 0.095212 | 0.043088 | 0.020986 |
| 12. Error deviation Euclidean (m) | 0.333460 | 0.380915 | 0.323825 | 0.334496 | 0.549203 | 0.389570 |
